ID,Name,2.5m/s,3m/s,4m/s,5m/s,6m/s,7m/s,8m/s,9m/s,10m/s,11m/s,12m/s,13m/s,14m/s,15m/s,16m/s,17m/s,18m/s,19m/s,20m/s,21m/s,22m/s,23m/s,24m/s,25m/s
2,GW77,,0.254550083,0.408185181,0.43172733,0.441728811,0.447060493,0.450715886,0.448396801,0.427799986,0.392544727,0.304388651,0.239409918,0.191684982,0.155846989,0.128413962,0.107059554,0.09018923,0.076685171,0.065747949,0.05679555,0.049397407,,,
3,GW82,,0.313958881,0.43113713,0.449909788,0.458654133,0.463750428,0.466744987,0.454726736,0.433151793,0.341552347,0.263082276,0.206921335,0.165672804,0.134698125,0.110987835,0.092531279,0.077950304,0.066278783,0.056825772,0.049088238,0.042694043,,,
4,MY77,,0.047922106,0.25576866,0.342878475,0.376577093,0.397502941,0.411303342,0.416980369,0.407406161,0.383229621,0.30356064,0.238758665,0.191163552,0.155423048,0.128064645,0.106768326,0.089943893,0.076476569,0.065569098,0.056641052,0.049263034,0.043112746,0.03794508,0.033571378
5,MY82,,0.033870503,0.266730211,0.375556137,0.420558745,0.450586312,0.467968629,0.466242109,0.449021258,0.343540038,0.264613305,0.20812553,0.16663695,0.135482012,0.111633738,0.093069772,0.078403942,0.066664498,0.057156474,0.049373911,0.042942505,0.037581309,0.033076663,0.029264115
6,XE87,,,0.423265374,0.442092218,0.446466587,0.449377022,0.455010277,0.458914885,0.448051794,0.404197762,0.313529907,0.246599763,0.197441574,0.160527312,0.132270429,0.110274716,0.09289775,0.078988144,0.06772246,0.058501207,0.050880886,0.044528617,0.039191238,0.034673899
7,W93,,0.309054291,0.454475373,0.452031636,0.459166375,0.458754475,0.461460138,0.453279627,0.440587797,0.358246897,0.275941331,0.21703533,0.173770634,0.141281962,0.116412749,0.097054065,0.081760394,0.069518388,0.059603328,0.051487595,0.044780862,0.039190155,0.034492666,0.030516904
8,MY100,,0.045732579,0.228662894,0.366958212,0.410640447,0.433992839,0.446160607,0.452275756,0.452501,0.425835248,0.355361,0.28385347,0.227268977,0.184778096,0.152252459,0.126933864,0.106931768,0.090920845,0.077953259,0.067338956,0.058567437,0.051255533,0.04511184,0.039912069
9,GW82,,0.313958881,0.43113713,0.449909788,0.458654133,0.463750428,0.466744987,0.454726736,0.433151793,0.341552347,0.263082276,0.206921335,0.165672804,0.134698125,0.110987835,0.092531279,0.077950304,0.066278783,0.056825772,0.049088238,0.042694043,,,
10,XE82,,,0.357227961,0.419452309,0.448784165,0.463028538,0.470945529,0.47209627,0.458775963,0.428966994,0.352817739,0.277500707,0.2221826,0.180642683,0.148844984,0.124093029,0.104538589,0.088885997,0.076208632,0.065831881,0.057256673,0.050108412,0.044102217,0.039018819
11,W87,,0.123142326,0.25846531,0.363369596,0.399449279,0.422184457,0.434013489,0.437914765,0.428465071,0.40639009,0.318032866,0.250141462,0.200277257,0.162832827,0.134170115,0.111858496,0.09423196,0.080122582,0.068695099,0.059341409,0.051611645,0.045168143,0.039754108,0.035171891
