ID,Name,2.5m/s,3m/s,4m/s,5m/s,6m/s,7m/s,8m/s,9m/s,10m/s,11m/s,12m/s,13m/s,14m/s,15m/s,16m/s,17m/s,18m/s,19m/s,20m/s,21m/s,22m/s,23m/s,24m/s,25m/s
2,GW77,0.0 ,19.6 ,74.5 ,153.9 ,272.1 ,437.3 ,658.1 ,932.2 ,1220.0 ,1490.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
3,GW82,0.0 ,28.0 ,91.0 ,185.6 ,326.9 ,524.8 ,788.5 ,1093.8 ,1429.2 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
4,MY77,0.0 ,3.7 ,46.8 ,122.6 ,232.6 ,389.9 ,602.2 ,869.3 ,1165.0 ,1458.6 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
5,MY82,0.0 ,3.0 ,56.0 ,154.0 ,298.0 ,507.0 ,786.0 ,1115.0 ,1473.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
6,XE87,0.0 ,,100.0 ,204.0 ,356.0 ,569.0 ,860.0 ,1235.0 ,1654.0 ,1986.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
7,W93,0.0 ,35.0 ,122.0 ,237.0 ,416.0 ,660.0 ,991.0 ,1386.0 ,1848.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
8,MY100,0.0 ,5.9 ,70.4 ,220.7 ,426.7 ,716.1 ,1098.9 ,1586.1 ,2176.8 ,2726.6 ,2954.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 
9,GW82,0.0 ,28.0 ,91.0 ,185.6 ,326.9 ,524.8 ,788.5 ,1093.8 ,1429.2 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
10,XE82,0.0 ,,75.0 ,172.0 ,318.0 ,521.0 ,791.0 ,1129.0 ,1505.0 ,1873.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
11,W87,0.0 ,12.1 ,60.2 ,165.3 ,314.0 ,527.0 ,808.7 ,1161.8 ,1559.3 ,1968.5 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
12,MY82,0.0 ,3.0 ,53.0 ,147.0 ,284.0 ,484.0 ,750.0 ,1065.0 ,1406.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
13,V80,0.0 ,,66.3 ,152.0 ,280.0 ,457.0 ,690.0 ,978.0 ,1296.0 ,1598.0 ,1818.0 ,1935.0 ,1980.0 ,1995.0 ,1999.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
14,Vestas90,0.0 ,,89.0 ,204.0 ,368.0 ,594.0 ,896.0 ,1247.0 ,1599.0 ,1881.0 ,1981.0 ,1998.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
15,GW103,0.0 ,47.1 ,134.4 ,264.2 ,458.2 ,737.6 ,1100.8 ,1507.4 ,2019.1 ,2326.1 ,2462.5 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
16,XE93,0.0 ,35.0 ,122.0 ,237.0 ,416.0 ,660.0 ,991.0 ,1386.0 ,1848.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
17,XE96,0.0 ,50.0 ,127.0 ,249.0 ,432.0 ,685.0 ,1022.0 ,1451.0 ,1904.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
18,MY104,0.0 ,10.0 ,111.0 ,270.0 ,510.0 ,838.0 ,1270.0 ,1737.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
19,GW109,0.0 ,50.0 ,156.0 ,313.0 ,544.0 ,865.0 ,1285.0 ,1793.0 ,2333.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
